Job Title,Years of Experience,Company Size,Industry,Location,Website Visits,Resources Downloaded,Attended Webinar,Email Open Rate,Email Click Rate,Responded to Survey,Days Since Last Interaction,Positive Lead
Assistant,12,Medium,Healthcare,Urban,1,0,0,0.11,0.02,0,2,0
Assistant,13,Small,Healthcare,Urban,6,0,0,0.13,0.04,0,14,0
Director,18,Small,Manufacturing,Suburban,47,0,0,0.12,0.04,0,20,0
Assistant,14,Large,Healthcare,Rural,38,0,0,0.14,0.08,0,8,0
Consultant,4,Small,IT,Rural,42,0,0,0.14,0.04,0,1,0
Executive,21,Small,Retail,Rural,4,0,0,0.11,0.03,0,3,0
Executive,28,Large,Manufacturing,Rural,30,0,0,0.0,0.07,0,10,0
Executive,14,Medium,Healthcare,Urban,25,0,0,0.12,0.03,0,8,0
Assistant,25,Small,IT,Rural,15,0,0,0.15,0.03,0,2,0
Consultant,13,Large,Finance,Urban,25,0,0,0.08,0.06,0,22,0
Consultant,30,Small,Retail,Suburban,9,1,0,0.05,0.08,0,4,0
Director,10,Large,Retail,Suburban,23,0,0,0.02,0.04,0,2,0
Assistant,25,Small,IT,Urban,44,0,0,0.01,0.1,0,6,0
Assistant,14,Small,Healthcare,Suburban,48,0,0,0.04,0.08,0,16,0
Executive,26,Small,Manufacturing,Rural,46,0,1,0.08,0.02,0,10,1
Executive,25,Large,IT,Suburban,6,1,1,0.1,0.01,0,26,1
Executive,1,Small,Healthcare,Urban,39,0,0,0.11,0.08,0,26,0
Consultant,15,Small,Retail,Suburban,20,0,0,0.04,0.06,0,15,0
Manager,14,Large,IT,Suburban,40,0,0,0.04,0.0,0,13,0
Director,3,Small,Manufacturing,Urban,30,0,0,0.12,0.04,0,24,0
Consultant,22,Small,Manufacturing,Suburban,20,0,0,0.07,0.0,0,4,0
Director,29,Medium,Healthcare,Urban,27,0,0,0.1,0.01,0,8,0
Assistant,20,Medium,Healthcare,Rural,0,0,0,0.08,0.01,0,15,0
Assistant,5,Small,Manufacturing,Suburban,27,0,0,0.1,0.07,0,24,0
Manager,6,Small,Retail,Suburban,41,0,0,0.09,0.02,0,12,0
Director,20,Large,IT,Urban,41,0,0,0.09,0.09,0,23,0
Assistant,26,Medium,Retail,Urban,34,0,0,0.19,0.08,0,6,0
Executive,22,Medium,Manufacturing,Urban,18,0,0,0.01,0.07,0,14,0
Executive,1,Large,Retail,Rural,41,0,0,0.01,0.1,0,16,0
Director,20,Large,Healthcare,Rural,43,0,0,0.16,0.07,0,17,0
Director,9,Medium,Healthcare,Urban,45,0,0,0.04,0.04,0,4,0
Assistant,1,Medium,Manufacturing,Urban,23,0,0,0.12,0.08,0,13,0
Consultant,0,Medium,Retail,Rural,47,0,0,0.13,0.04,0,21,0
Consultant,3,Medium,IT,Suburban,25,0,0,0.17,0.03,0,25,0
Executive,4,Large,Manufacturing,Rural,36,0,1,0.12,0.1,0,21,1
Manager,13,Large,Manufacturing,Rural,48,0,0,0.08,0.04,0,4,1
Manager,14,Small,IT,Suburban,1,0,0,0.07,0.09,0,3,0
Director,23,Large,Healthcare,Suburban,32,0,0,0.11,0.04,1,0,1
Director,9,Large,IT,Suburban,33,1,0,0.03,0.02,0,16,0
Consultant,17,Large,Healthcare,Suburban,36,0,0,0.04,0.01,0,13,0
Manager,22,Small,Retail,Suburban,25,0,0,0.18,0.0,0,30,0
Director,13,Medium,Manufacturing,Urban,36,0,0,0.17,0.02,0,19,0
Executive,24,Medium,Manufacturing,Rural,22,1,0,0.14,0.02,0,29,0
Manager,30,Small,IT,Suburban,38,0,0,0.18,0.04,0,11,0
Consultant,1,Small,Manufacturing,Urban,17,0,0,0.09,0.07,0,5,0
Executive,14,Medium,IT,Suburban,11,0,0,0.17,0.08,0,15,0
Assistant,23,Medium,Retail,Suburban,16,0,0,0.08,0.09,0,18,0
Consultant,4,Small,Retail,Rural,10,0,0,0.1,0.08,0,24,0
Executive,25,Large,Manufacturing,Suburban,31,0,0,0.08,0.04,0,20,0
Director,28,Medium,Healthcare,Urban,17,0,0,0.11,0.09,0,7,0
Executive,2,Large,IT,Suburban,49,0,0,0.02,0.0,0,20,0
Assistant,26,Medium,Retail,Urban,17,0,0,0.18,0.03,0,20,0
Assistant,23,Large,Manufacturing,Urban,14,0,0,0.12,0.09,0,11,0
Director,24,Small,Finance,Suburban,49,0,0,0.03,0.03,0,7,0
Manager,13,Small,Finance,Rural,36,0,1,0.18,0.08,0,12,1
Manager,6,Medium,Manufacturing,Rural,27,0,0,0.02,0.01,0,13,0
Assistant,26,Medium,Finance,Suburban,46,0,0,0.16,0.06,0,27,0
Executive,26,Large,Healthcare,Urban,10,0,0,0.06,0.02,0,14,0
Executive,0,Small,Manufacturing,Rural,47,0,0,0.2,0.04,0,20,0
Consultant,7,Medium,Healthcare,Urban,41,0,0,0.17,0.1,0,13,0
Director,6,Small,Healthcare,Rural,40,0,0,0.11,0.06,0,13,0
Executive,28,Small,Manufacturing,Rural,24,0,0,0.09,0.06,0,29,0
Assistant,27,Medium,Retail,Suburban,24,0,0,0.05,0.09,0,20,0
Consultant,9,Medium,Healthcare,Rural,21,1,0,0.11,0.0,0,9,0
Assistant,26,Medium,Healthcare,Suburban,46,0,0,0.05,0.1,0,25,0
Consultant,18,Medium,Finance,Rural,22,0,1,0.01,0.07,0,5,1
Executive,21,Small,Manufacturing,Suburban,17,0,0,0.09,0.06,0,14,0
Assistant,17,Medium,Retail,Suburban,6,0,0,0.07,0.1,0,7,0
Consultant,24,Small,Retail,Suburban,45,0,0,0.09,0.05,0,28,0
Director,13,Medium,IT,Rural,37,0,0,0.06,0.06,0,8,0
Consultant,18,Medium,Retail,Suburban,10,0,0,0.02,0.02,0,25,0
Executive,29,Small,Manufacturing,Urban,33,0,0,0.01,0.03,0,4,0
Manager,24,Medium,Finance,Suburban,39,0,0,0.17,0.08,0,22,0
Manager,22,Medium,Finance,Urban,6,0,0,0.13,0.01,0,0,0
Assistant,5,Large,Manufacturing,Rural,41,0,0,0.1,0.02,0,3,0
Assistant,12,Medium,Retail,Rural,30,0,0,0.19,0.07,0,7,0
Manager,27,Large,Finance,Suburban,40,0,0,0.08,0.07,0,11,0
Executive,4,Medium,Finance,Urban,15,0,0,0.1,0.09,0,10,0
Director,21,Small,IT,Rural,39,0,0,0.07,0.08,0,20,0
Executive,25,Small,IT,Urban,35,0,0,0.07,0.09,0,15,0
Assistant,24,Small,Healthcare,Urban,47,0,0,0.16,0.08,0,23,0
Consultant,4,Large,Healthcare,Rural,42,0,0,0.13,0.05,0,24,0
Manager,25,Medium,Healthcare,Urban,43,0,0,0.11,0.1,0,15,0
Assistant,16,Medium,Retail,Suburban,30,0,0,0.08,0.03,0,19,0
Assistant,20,Small,Manufacturing,Urban,11,0,0,0.05,0.08,0,23,0
Consultant,3,Small,Finance,Suburban,12,0,0,0.13,0.07,0,28,0
Director,23,Large,Finance,Suburban,10,0,0,0.06,0.0,0,28,0
Executive,20,Small,IT,Rural,31,0,0,0.0,0.1,0,13,0
Assistant,12,Large,Finance,Rural,28,0,0,0.08,0.0,0,25,0
Executive,9,Large,Retail,Urban,25,0,1,0.12,0.09,0,22,1
Assistant,9,Large,Manufacturing,Rural,27,0,0,0.08,0.01,0,2,0
Executive,24,Small,Retail,Urban,31,0,0,0.02,0.08,0,8,0
Director,15,Small,Finance,Rural,42,0,0,0.14,0.07,0,4,1
Assistant,8,Small,IT,Urban,26,1,0,0.13,0.03,0,4,0
Executive,21,Small,Healthcare,Rural,5,0,0,0.14,0.03,0,17,0
Director,4,Small,Retail,Urban,44,0,0,0.12,0.09,0,11,0
Manager,22,Medium,IT,Rural,38,0,0,0.08,0.06,0,11,0
Director,10,Medium,Retail,Urban,27,0,0,0.19,0.03,0,13,0
Executive,6,Large,Healthcare,Urban,43,0,0,0.09,0.05,0,14,0
Manager,2,Medium,Manufacturing,Urban,39,0,1,0.02,0.05,0,12,1
Manager,17,Medium,Healthcare,Rural,36,0,1,0.13,0.07,0,8,1
Manager,21,Small,Retail,Rural,22,0,0,0.05,0.06,0,18,0
Consultant,3,Medium,Retail,Suburban,46,0,0,0.05,0.09,0,13,0
Manager,29,Medium,Finance,Urban,3,0,0,0.02,0.0,0,2,0
Assistant,1,Small,Manufacturing,Rural,11,0,0,0.07,0.01,0,22,0
Assistant,26,Medium,Healthcare,Urban,32,0,0,0.09,0.0,0,5,0
Director,17,Medium,IT,Rural,20,0,0,0.19,0.04,0,9,0
Executive,23,Medium,Healthcare,Suburban,43,0,0,0.07,0.09,0,19,0
Director,26,Medium,Manufacturing,Urban,42,0,0,0.04,0.06,0,20,0
Assistant,24,Small,IT,Urban,7,0,0,0.09,0.01,0,10,0
Director,19,Large,Manufacturing,Suburban,34,0,0,0.13,0.04,0,3,0
Consultant,14,Small,IT,Urban,45,0,0,0.13,0.09,0,28,0
Assistant,14,Large,Healthcare,Rural,20,0,0,0.19,0.09,0,16,0
Manager,24,Small,Retail,Urban,28,0,0,0.16,0.06,0,9,0
Director,24,Small,Finance,Rural,46,1,0,0.07,0.02,0,17,0
Director,11,Small,Retail,Suburban,19,0,0,0.11,0.07,0,18,0
Consultant,23,Large,Manufacturing,Suburban,36,1,0,0.1,0.03,0,10,0
Executive,4,Large,Manufacturing,Rural,16,1,0,0.16,0.0,0,9,0
Manager,16,Medium,Manufacturing,Suburban,43,0,0,0.07,0.02,0,13,0
Manager,25,Medium,Retail,Urban,14,0,0,0.13,0.05,0,6,0
Manager,16,Small,Retail,Rural,11,0,0,0.04,0.1,0,30,0
Executive,23,Large,IT,Suburban,22,0,0,0.1,0.09,0,16,0
Executive,9,Small,Healthcare,Suburban,24,0,0,0.03,0.01,0,24,0
Director,18,Medium,Retail,Rural,8,0,0,0.14,0.06,0,2,0
Executive,16,Medium,IT,Urban,8,0,0,0.08,0.07,0,8,0
Manager,1,Medium,Retail,Rural,38,0,0,0.01,0.01,0,22,0
Assistant,2,Large,Finance,Urban,50,0,0,0.09,0.02,0,15,0
Manager,13,Small,Finance,Rural,21,0,0,0.16,0.1,0,17,0
Manager,22,Small,IT,Suburban,9,0,0,0.04,0.0,0,13,0
Assistant,13,Medium,Manufacturing,Rural,6,0,0,0.11,0.05,0,0,0
Consultant,30,Small,Finance,Urban,3,0,0,0.19,0.06,0,12,0
Manager,6,Medium,Manufacturing,Rural,6,0,0,0.14,0.0,0,19,0
Executive,7,Small,Healthcare,Urban,20,0,0,0.06,0.04,0,11,0
Manager,15,Small,Healthcare,Suburban,0,0,0,0.2,0.03,0,1,0
Assistant,26,Small,Finance,Urban,9,0,0,0.07,0.1,0,12,0
Executive,13,Large,Retail,Urban,2,0,0,0.1,0.04,0,30,0
Director,13,Small,IT,Suburban,14,0,0,0.03,0.09,0,13,0
Consultant,17,Small,Finance,Rural,49,0,1,0.02,0.09,0,24,1
Assistant,0,Large,Finance,Suburban,15,0,0,0.19,0.09,0,23,0
Executive,30,Small,IT,Rural,43,0,0,0.02,0.08,0,2,1
Director,14,Small,Healthcare,Urban,38,0,1,0.15,0.01,0,22,1
Consultant,27,Small,Manufacturing,Suburban,7,0,0,0.17,0.03,0,12,0
Assistant,16,Medium,Retail,Urban,16,0,0,0.2,0.1,0,26,0
Assistant,23,Medium,Manufacturing,Rural,36,0,0,0.08,0.01,0,3,0
Consultant,4,Medium,Healthcare,Suburban,9,0,0,0.04,0.02,0,20,0
Executive,26,Medium,Healthcare,Suburban,33,0,0,0.0,0.05,0,11,0
Assistant,24,Small,Manufacturing,Urban,37,0,0,0.12,0.06,0,4,0
Consultant,20,Small,Finance,Rural,32,1,0,0.03,0.09,0,0,1
Director,24,Medium,Finance,Suburban,28,0,0,0.06,0.02,0,27,0
Director,30,Small,Healthcare,Rural,3,0,0,0.08,0.07,0,7,0
Consultant,18,Large,Healthcare,Rural,49,0,0,0.17,0.07,0,8,0
Director,11,Large,IT,Rural,36,0,0,0.0,0.07,0,2,0
Manager,12,Medium,Retail,Suburban,37,1,0,0.05,0.1,1,17,1
Assistant,14,Small,IT,Rural,13,0,0,0.0,0.02,0,15,0
Executive,6,Large,Retail,Rural,28,0,0,0.01,0.01,0,29,0
Consultant,25,Small,Retail,Urban,2,0,0,0.15,0.06,1,20,1
Director,28,Large,Healthcare,Urban,38,0,0,0.09,0.03,0,25,0
Executive,16,Large,Retail,Suburban,8,0,0,0.16,0.02,0,6,0
Consultant,20,Large,IT,Rural,35,0,0,0.14,0.1,0,7,0
Director,5,Small,IT,Rural,29,1,0,0.19,0.07,0,5,0
Consultant,0,Small,IT,Rural,27,0,0,0.01,0.01,0,17,0
Consultant,12,Small,Retail,Rural,35,0,0,0.12,0.01,0,8,0
Director,6,Medium,Manufacturing,Urban,30,0,0,0.1,0.01,0,16,0
Manager,2,Small,Retail,Rural,8,0,0,0.17,0.08,0,9,0
Director,26,Small,IT,Suburban,14,0,0,0.1,0.05,0,3,0
Director,18,Medium,Retail,Rural,42,0,0,0.2,0.03,0,10,0
Manager,4,Large,Healthcare,Rural,32,1,0,0.07,0.1,0,3,0
Assistant,18,Medium,IT,Suburban,49,0,0,0.17,0.04,0,28,0
Manager,20,Large,Manufacturing,Suburban,30,0,0,0.07,0.01,0,8,0
Executive,9,Small,IT,Rural,10,0,0,0.16,0.02,0,10,0
Consultant,5,Small,Finance,Urban,32,0,0,0.15,0.0,0,24,0
Consultant,17,Medium,Retail,Urban,37,1,0,0.04,0.06,0,18,0
Manager,15,Large,Finance,Suburban,7,0,0,0.05,0.03,0,5,0
Assistant,7,Large,Retail,Urban,22,0,0,0.2,0.07,0,9,0
Executive,30,Small,Finance,Suburban,43,0,0,0.11,0.0,0,25,0
Director,1,Medium,Healthcare,Suburban,37,0,0,0.13,0.07,0,25,0
Manager,22,Medium,Healthcare,Urban,32,0,0,0.19,0.05,0,18,0
Manager,27,Medium,Retail,Suburban,34,0,0,0.03,0.1,0,9,0
Director,10,Small,IT,Rural,25,0,0,0.03,0.0,0,5,0
Director,6,Medium,Retail,Urban,17,0,0,0.08,0.07,0,26,0
Consultant,12,Small,IT,Suburban,16,0,0,0.01,0.08,0,10,0
Consultant,0,Medium,IT,Suburban,39,0,0,0.17,0.06,0,9,0
Assistant,0,Medium,Manufacturing,Suburban,30,0,0,0.2,0.01,0,17,0
Manager,26,Small,Healthcare,Rural,4,1,0,0.1,0.04,0,18,0
Manager,16,Large,IT,Suburban,10,1,0,0.1,0.06,0,8,0
Director,13,Large,Healthcare,Rural,15,0,0,0.04,0.07,0,11,0
Director,14,Small,IT,Suburban,1,0,0,0.18,0.1,0,2,0
Executive,29,Medium,Manufacturing,Suburban,8,0,0,0.13,0.09,0,9,0
Director,5,Small,IT,Urban,27,1,0,0.01,0.04,0,6,0
Consultant,0,Large,Finance,Suburban,20,1,0,0.01,0.08,0,14,0
Executive,14,Medium,IT,Urban,47,0,0,0.19,0.05,0,25,0
Manager,25,Large,IT,Suburban,22,0,0,0.03,0.01,0,24,0
Director,13,Small,Finance,Rural,19,0,0,0.17,0.02,0,11,0
Executive,25,Medium,Healthcare,Urban,35,0,0,0.14,0.02,0,13,0
Director,29,Small,Healthcare,Rural,0,0,0,0.17,0.09,0,19,0
Manager,7,Large,IT,Suburban,10,0,0,0.16,0.04,0,25,0
Consultant,6,Large,IT,Urban,0,0,0,0.08,0.07,0,4,0
Manager,13,Large,Finance,Urban,46,0,0,0.16,0.08,0,19,0
Director,12,Medium,IT,Urban,15,0,0,0.1,0.1,0,4,0
Director,26,Large,IT,Urban,31,0,0,0.06,0.0,0,17,0
Manager,14,Small,Manufacturing,Rural,14,0,0,0.02,0.02,0,7,0
Manager,1,Small,Manufacturing,Urban,49,0,1,0.0,0.01,0,14,1
Assistant,29,Medium,Manufacturing,Rural,11,0,0,0.17,0.05,0,25,0
Manager,4,Large,Healthcare,Urban,4,0,0,0.13,0.01,0,25,0
Manager,4,Medium,Finance,Suburban,0,0,0,0.14,0.0,0,28,0
Manager,14,Small,Retail,Urban,28,0,0,0.02,0.08,0,24,0
Assistant,10,Large,IT,Rural,24,0,0,0.06,0.08,0,4,0
Executive,0,Small,Manufacturing,Suburban,5,0,0,0.19,0.05,0,19,0
Manager,13,Small,Retail,Urban,48,0,0,0.11,0.1,0,26,0
Director,19,Medium,Retail,Urban,48,0,0,0.14,0.09,0,29,0
Director,17,Medium,Retail,Suburban,41,0,0,0.15,0.05,0,6,0
Manager,9,Medium,Manufacturing,Urban,20,0,0,0.2,0.09,0,1,0
Manager,13,Small,Finance,Suburban,48,0,0,0.12,0.09,0,6,1
Consultant,18,Large,IT,Rural,24,0,0,0.06,0.07,0,21,0
Executive,5,Small,Finance,Urban,44,0,0,0.06,0.09,0,15,0
Director,19,Large,Manufacturing,Urban,11,0,0,0.16,0.03,0,8,0
Consultant,2,Small,Manufacturing,Rural,40,0,0,0.07,0.04,0,5,0
Manager,6,Medium,Retail,Urban,20,0,0,0.14,0.06,0,0,0
Assistant,13,Small,Finance,Rural,27,0,0,0.13,0.07,0,26,0
Assistant,20,Medium,Retail,Rural,37,0,0,0.04,0.01,0,27,0
Consultant,3,Small,Manufacturing,Urban,17,0,0,0.07,0.08,0,1,0
Assistant,2,Small,Healthcare,Rural,29,0,0,0.19,0.05,0,10,0
Assistant,10,Large,Retail,Urban,5,0,0,0.2,0.0,0,28,0
Director,21,Small,Retail,Suburban,33,0,0,0.18,0.05,0,17,0
Assistant,2,Small,Manufacturing,Urban,41,0,0,0.11,0.04,0,30,0
Assistant,11,Large,Manufacturing,Rural,8,0,0,0.0,0.05,0,16,0
Director,4,Large,Retail,Urban,14,0,0,0.15,0.09,0,4,0
Executive,12,Large,Manufacturing,Urban,2,1,0,0.05,0.1,0,11,0
Consultant,18,Large,Retail,Urban,25,0,0,0.03,0.07,0,21,0
Consultant,15,Small,Retail,Rural,27,0,0,0.06,0.08,0,17,0
Executive,13,Medium,Manufacturing,Suburban,4,0,0,0.01,0.03,0,1,0
Executive,1,Large,Healthcare,Urban,25,0,0,0.06,0.01,0,8,0
Assistant,16,Medium,IT,Urban,40,0,0,0.1,0.05,0,1,0
Consultant,20,Large,IT,Suburban,46,0,0,0.15,0.07,0,20,0
Director,14,Medium,Retail,Suburban,17,0,0,0.04,0.0,0,23,0
Manager,30,Medium,Finance,Rural,49,0,0,0.14,0.01,1,20,1
Director,7,Medium,Manufacturing,Rural,49,0,0,0.07,0.1,0,9,0
Director,9,Large,Healthcare,Suburban,6,0,0,0.07,0.05,0,30,0
Director,22,Small,Healthcare,Urban,40,0,0,0.07,0.0,0,0,0
Assistant,2,Small,Healthcare,Rural,11,1,0,0.0,0.04,0,23,0
Manager,6,Large,Healthcare,Urban,8,1,0,0.2,0.07,0,6,0
Executive,29,Large,IT,Rural,11,0,0,0.11,0.04,0,5,0
Manager,25,Small,Manufacturing,Urban,9,1,0,0.09,0.09,0,17,0
Director,19,Medium,Finance,Suburban,26,1,0,0.19,0.08,0,8,0
Manager,16,Large,Healthcare,Urban,24,1,0,0.1,0.09,0,7,0
Director,10,Medium,Finance,Urban,3,0,0,0.11,0.1,0,6,0
Assistant,20,Small,Manufacturing,Suburban,20,0,0,0.19,0.07,0,18,0
Assistant,26,Medium,Healthcare,Rural,20,0,0,0.12,0.09,0,13,0
Executive,2,Small,Retail,Rural,21,0,0,0.04,0.07,0,7,0
Director,13,Large,Manufacturing,Rural,31,0,0,0.15,0.02,0,4,0
Director,22,Large,Healthcare,Rural,16,0,0,0.19,0.06,0,12,0
Consultant,15,Small,Retail,Suburban,7,0,0,0.06,0.09,0,12,0
Assistant,30,Large,Manufacturing,Rural,19,0,0,0.16,0.01,0,23,0
Director,6,Small,Retail,Urban,48,0,0,0.17,0.0,0,21,0
Manager,24,Large,IT,Urban,16,0,0,0.17,0.02,0,4,0
Manager,7,Small,Manufacturing,Rural,39,0,0,0.16,0.0,0,25,0
Assistant,29,Small,Finance,Rural,10,0,0,0.14,0.02,0,27,0
Manager,22,Medium,Manufacturing,Suburban,10,0,0,0.12,0.03,0,26,0
Manager,21,Large,Retail,Suburban,46,0,1,0.0,0.07,0,25,1
Manager,21,Medium,Healthcare,Rural,19,0,0,0.14,0.04,0,12,0
Assistant,0,Medium,Finance,Rural,22,0,0,0.12,0.06,0,0,0
Assistant,9,Medium,IT,Rural,48,0,0,0.19,0.09,0,28,0
Executive,26,Medium,Retail,Suburban,16,0,1,0.16,0.08,0,0,1
Assistant,25,Medium,IT,Urban,48,0,0,0.02,0.0,0,3,0
Consultant,14,Small,Manufacturing,Rural,32,0,0,0.1,0.08,0,6,0
Assistant,12,Medium,IT,Urban,39,0,0,0.16,0.07,0,17,0
Manager,18,Medium,IT,Rural,21,0,0,0.01,0.1,0,28,0
Executive,23,Medium,Healthcare,Urban,22,0,0,0.13,0.06,1,3,1
Assistant,18,Medium,Manufacturing,Rural,47,0,0,0.1,0.1,0,30,0
Manager,6,Small,Retail,Suburban,23,0,0,0.04,0.09,0,17,0
Consultant,27,Small,Finance,Urban,31,1,0,0.14,0.05,0,27,0
Manager,9,Medium,Manufacturing,Suburban,37,0,0,0.15,0.06,0,19,0
Consultant,4,Small,IT,Rural,38,0,0,0.12,0.02,0,6,0
Consultant,0,Medium,Manufacturing,Suburban,40,0,0,0.13,0.1,0,20,0
Director,3,Small,Retail,Rural,2,0,0,0.17,0.03,0,11,0
Director,5,Medium,Manufacturing,Suburban,23,1,0,0.19,0.04,0,8,0
Consultant,12,Medium,Retail,Suburban,36,0,1,0.2,0.05,0,18,1
Executive,30,Small,Healthcare,Suburban,26,0,0,0.14,0.0,0,28,0
Executive,29,Small,Manufacturing,Rural,6,0,0,0.01,0.01,0,10,0
Assistant,17,Medium,Manufacturing,Suburban,41,0,0,0.06,0.08,0,30,0
Manager,13,Small,Retail,Urban,28,0,0,0.05,0.08,0,28,0
Manager,11,Small,Healthcare,Urban,44,0,0,0.13,0.1,0,2,0
Manager,11,Medium,Finance,Suburban,41,0,0,0.04,0.06,0,29,0
Assistant,4,Small,Retail,Rural,35,0,0,0.15,0.01,0,13,0
Executive,19,Large,IT,Rural,0,1,0,0.03,0.04,0,21,0
Consultant,29,Large,Retail,Rural,27,0,0,0.06,0.09,0,29,0
Manager,8,Large,Retail,Suburban,42,0,0,0.14,0.03,0,16,0
Assistant,12,Small,Retail,Urban,28,1,0,0.04,0.01,0,0,0
Consultant,26,Medium,Manufacturing,Rural,9,0,0,0.07,0.06,0,8,0
Director,5,Large,Healthcare,Rural,38,0,0,0.1,0.09,0,11,0
Assistant,13,Small,Retail,Rural,36,0,0,0.16,0.03,0,8,0
Director,0,Medium,Finance,Rural,35,0,0,0.14,0.1,0,10,0
Assistant,15,Medium,Manufacturing,Rural,41,0,0,0.12,0.05,0,27,0
Consultant,12,Medium,Healthcare,Urban,46,0,0,0.14,0.09,0,23,0
Manager,30,Large,Finance,Urban,10,1,0,0.13,0.1,0,29,0
Director,7,Large,Retail,Rural,23,0,0,0.1,0.08,0,12,0
Executive,25,Medium,Retail,Rural,14,0,0,0.01,0.07,0,12,0
Consultant,21,Medium,IT,Rural,37,0,0,0.14,0.07,0,3,0
Consultant,10,Small,Retail,Suburban,18,0,0,0.0,0.02,0,24,0
Consultant,29,Medium,Finance,Suburban,18,0,1,0.02,0.1,0,9,1
Consultant,24,Large,Healthcare,Rural,49,0,0,0.12,0.04,0,30,0
Consultant,2,Small,Manufacturing,Suburban,5,0,0,0.08,0.09,0,19,0
Executive,8,Small,IT,Rural,33,0,0,0.05,0.04,0,15,0
Director,0,Small,Manufacturing,Urban,11,0,0,0.11,0.01,0,6,0
Director,6,Medium,Manufacturing,Urban,35,0,0,0.04,0.05,0,1,0
Consultant,29,Large,Retail,Rural,6,0,0,0.12,0.02,0,4,0
Director,22,Large,IT,Suburban,17,0,0,0.14,0.04,0,12,0
Director,4,Large,Retail,Suburban,1,1,0,0.2,0.01,0,13,0
Director,6,Large,IT,Suburban,37,0,0,0.13,0.09,0,2,0
Assistant,26,Medium,Finance,Suburban,13,0,0,0.03,0.06,0,30,0
Consultant,21,Large,Healthcare,Suburban,14,0,0,0.13,0.1,0,20,0
Executive,19,Large,Retail,Rural,15,0,0,0.11,0.01,0,9,0
Consultant,5,Small,IT,Urban,9,0,0,0.16,0.04,0,0,0
Executive,12,Large,IT,Suburban,7,1,0,0.11,0.0,0,16,0
Manager,20,Small,IT,Suburban,13,0,0,0.1,0.07,0,0,0
Manager,22,Small,IT,Suburban,47,0,0,0.02,0.09,0,23,0
Director,23,Large,Manufacturing,Suburban,31,0,0,0.17,0.07,0,14,0
Director,0,Large,Finance,Suburban,25,0,1,0.16,0.06,0,17,1
Manager,29,Small,Healthcare,Urban,45,0,0,0.04,0.06,0,24,0
Assistant,12,Small,IT,Suburban,8,0,0,0.12,0.04,1,12,1
Director,26,Large,Retail,Urban,48,0,0,0.02,0.08,0,6,0
Manager,19,Medium,Finance,Rural,24,0,0,0.11,0.09,0,16,0
Executive,29,Small,Retail,Suburban,25,0,0,0.09,0.04,0,17,0
Consultant,12,Medium,Manufacturing,Suburban,23,0,0,0.08,0.07,0,9,0
Director,29,Small,IT,Urban,24,0,0,0.15,0.1,0,26,0
Executive,15,Large,Finance,Rural,14,0,1,0.11,0.01,0,13,1
Executive,20,Medium,Retail,Urban,42,0,0,0.11,0.06,0,28,0
Director,25,Large,Finance,Suburban,9,0,0,0.03,0.09,0,12,0
Director,29,Small,Finance,Urban,31,0,0,0.13,0.04,0,16,0
Executive,27,Small,Retail,Rural,2,0,0,0.15,0.08,0,11,0
Director,16,Small,Healthcare,Urban,13,0,0,0.01,0.0,0,17,0
Consultant,4,Large,Healthcare,Urban,21,0,0,0.04,0.0,0,0,0
Assistant,3,Medium,IT,Rural,46,0,0,0.16,0.02,0,27,0
